Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2035,6.27218e-09
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2040,1.03183e-07
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2045,3.13274e-06
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2050,0.000126741
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2035,5.50463e-09
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2040,1.24443e-07
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2045,7.75228e-06
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2050,0.000747855
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,1975,0.00913001
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,1990,0.020841
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2005,0.0383762
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2010,0.026815
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2015,0.021462
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2020,0.0186263
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2025,0.0178337
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2030,0.0172498
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2035,0.0163005
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2040,0.0158365
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2045,0.0145775
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2050,0.01219
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Domestic Ship,Liquids,refined liquids enduse,1975,0.000454075
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Domestic Ship,Liquids,refined liquids enduse,1990,0.000137893
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Domestic Ship,Liquids,refined liquids enduse,2005,1.46992e-05
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Domestic Ship,Liquids,refined liquids enduse,2010,3.51981e-05
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,BEV,elect_td_trn,2025,2.83284e-05
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,BEV,elect_td_trn,2030,0.000119714
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,BEV,elect_td_trn,2035,0.000228868
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,BEV,elect_td_trn,2040,0.000321084
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,BEV,elect_td_trn,2045,0.000382517
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,BEV,elect_td_trn,2050,0.000366739
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2025,3.88907e-05
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2030,0.000147777
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2035,0.000282277
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2040,0.000373056
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2045,0.000464638
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,FCEV,H2 wholesale dispensing,2050,0.000500042
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2025,5.93386e-05
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2030,0.000212418
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2035,0.000413374
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2040,0.000506864
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2045,0.000468714
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Hybrid Liquids,refined liquids enduse,2050,0.000325218
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,1975,0.0018618
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,1990,0.00352321
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2005,0.0035422
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2010,0.00349031
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2015,0.00266076
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2020,0.00242538
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2025,0.00203513
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2030,0.0015666
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2035,0.000946695
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2040,0.000661051
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2045,0.000491091
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,Liquids,refined liquids enduse,2050,0.000294087
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight_road,Heavy truck,BEV,elect_td_trn,2025,0.000236618
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight_road,Heavy truck,BEV,elect_td_trn,2030,0.000817251
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight_road,Heavy truck,BEV,elect_td_trn,2035,0.000734497
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight_road,Heavy truck,BEV,elect_td_trn,2040,0.00066697
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight_road,Heavy truck,BEV,elect_td_trn,2045,0.000610817
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight_road,Heavy truck,BEV,elect_td_trn,2050,0.000563375
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2025,3.46211e-07
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2030,3.78723282e-06
EJ,"T_03b_NZnoCCS_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight_road,Heavy truck,FCEV,H2 retail dispensing,2035,2.002522518e-05
