Units,scenario,region,sector,subsector,technology,input,Year,value
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2035,6.28271e-09
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2040,5.08369e-08
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2045,4.03974e-07
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,BEV,elect_td_trn,2050,2.86958e-06
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2035,7.98542e-09
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2040,1.49865e-07
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2045,1.98545e-06
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Hydrogen,H2 wholesale dispensing,2050,1.87998e-05
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,1975,0.00913001
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,1990,0.020841
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2005,0.0383762
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2010,0.026815
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2015,0.021462
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2020,0.0186263
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2025,0.0183851
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2030,0.0178057
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2035,0.017132
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2040,0.0179356
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2045,0.0186837
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse,2050,0.0194915
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Domestic Ship,Liquids,refined liquids enduse,1975,0.000454075
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Domestic Ship,Liquids,refined liquids enduse,1990,0.000137893
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Domestic Ship,Liquids,refined liquids enduse,2005,1.46992e-05
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Domestic Ship,Liquids,refined liquids enduse,2010,3.51981e-05
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,BEV,elect_td_trn,2025,2.78601e-05
EJ,"T_01b_BAU_climate,date=2023-19-2T09:39:15-08:00",AK,trn_freight,Freight Rail,BEV,elect_td_trn,2030,0.000118173
